laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
299,10,0.0007674597083653108,3,15.6,0.38910207214121256,0.05525709900230238,8,0.31619339984650807,0.052187260168841135,5,0.003837298541826554,739.0
863,4,0.0007674597083653108,3,17.3,0.38910207214121256,0.10283960092095165,8,0.17114351496546432,0.010744435917114352,2,0.0007674597083653108,865.0
358,11,0.0007674597083653108,1,17.3,0.38910207214121256,0.11204911742133537,8,0.07214121258633922,0.03683806600153492,5,0.00920951650038373,1409.0
1025,7,0.006907137375287797,4,12.5,0.38910207214121256,0.14581734458940906,5,0.10130468150422103,0.21565617805065235,5,0.011511895625479662,1539.0
917,9,0.0007674597083653108,4,15.6,0.04067536454336147,0.10283960092095165,1,0.09056024558710668,0.21565617805065235,5,0.0015349194167306216,2099.0
90,2,0.0007674597083653108,1,15.6,0.17651573292402148,0.11204911742133537,1,0.07214121258633922,0.03683806600153492,5,0.09286262471220261,1449.0
715,10,0.0007674597083653108,5,15.6,0.38910207214121256,0.03760552570990023,1,0.09056024558710668,0.0015349194167306216,7,0.017651573292402148,1855.0
1227,2,0.004604758250191865,1,15.6,0.38910207214121256,0.11204911742133537,1,0.056024558710667687,0.023023791250959325,5,0.09286262471220261,2449.0
1114,2,0.0007674597083653108,1,17.3,0.17651573292402148,0.03300076745970836,1,0.07214121258633922,0.007674597083653108,5,0.0030698388334612432,2299.0
535,4,0.022256331542594012,3,15.6,0.38910207214121256,0.14581734458940906,5,0.10130468150422103,0.01688411358403684,5,0.031465848042977744,585.0
728,10,0.00920951650038373,4,14.0,0.0023023791250959325,0.03760552570990023,8,0.09056024558710668,0.1419800460475825,5,0.003837298541826554,1686.64
948,16,0.0007674597083653108,3,14.0,0.17651573292402148,0.052187260168841135,5,0.05832693783576362,0.1419800460475825,5,0.003837298541826554,1105.0
295,0,0.0007674597083653108,3,15.6,0.21565617805065235,0.0030698388334612432,3,0.0023023791250959325,0.022256331542594012,1,0.004604758250191865,199.0
290,0,0.0007674597083653108,3,15.6,0.04067536454336147,0.10283960092095165,0,0.17114351496546432,0.21565617805065235,5,0.0015349194167306216,659.0
1155,7,0.007674597083653108,4,15.6,0.38910207214121256,0.03760552570990023,8,0.31619339984650807,0.1419800460475825,7,0.004604758250191865,2171.72
1252,1,0.0023023791250959325,4,11.6,0.21565617805065235,0.0023023791250959325,5,0.0061396776669224865,0.003837298541826554,3,0.0015349194167306216,959.0
533,10,0.003837298541826554,3,15.6,0.38910207214121256,0.10283960092095165,5,0.17114351496546432,0.009976976208749041,5,0.09286262471220261,799.0
271,2,0.003837298541826554,0,13.3,0.03607060629316961,0.056024558710667687,8,0.0007674597083653108,0.052187260168841135,5,0.012279355333844973,1499.0
333,2,0.0030698388334612432,4,15.6,0.38910207214121256,0.10283960092095165,8,0.31619339984650807,0.03300076745970836,5,0.013814274750575594,1049.9
637,2,0.0007674597083653108,4,14.0,0.38910207214121256,0.10283960092095165,1,0.09056024558710668,0.21565617805065235,5,0.012279355333844973,1900.0
60,2,0.0007674597083653108,3,15.6,0.38910207214121256,0.04911742133537989,5,0.31619339984650807,0.1419800460475825,2,0.02686108979278588,415.0
497,10,0.0015349194167306216,3,15.6,0.17651573292402148,0.14581734458940906,8,0.31619339984650807,0.03300076745970836,5,0.031465848042977744,1011.99
1248,10,0.0061396776669224865,2,12.5,0.04067536454336147,0.0015349194167306216,1,0.09056024558710668,0.1419800460475825,5,0.013046815042210284,1650.0
545,7,0.0007674597083653108,1,17.3,0.38910207214121256,0.11204911742133537,0,0.17114351496546432,0.03683806600153492,5,0.00920951650038373,1799.0
832,11,0.0015349194167306216,1,15.6,0.38910207214121256,0.02532617037605526,8,0.31619339984650807,0.05065234075211052,5,0.03376822716807368,1199.0
779,4,0.010744435917114352,3,15.6,0.38910207214121256,0.10283960092095165,1,0.31619339984650807,0.010744435917114352,5,0.031465848042977744,1181.27
417,10,0.0007674597083653108,5,15.6,0.38910207214121256,0.11204911742133537,8,0.09056024558710668,0.006907137375287797,5,0.0023023791250959325,1925.0
339,10,0.0007674597083653108,3,15.6,0.38910207214121256,0.04911742133537989,5,0.17114351496546432,0.1419800460475825,5,0.0030698388334612432,449.0
445,10,0.003837298541826554,4,14.0,0.0023023791250959325,0.10283960092095165,2,0.09056024558710668,0.21565617805065235,5,0.005372217958557176,2382.0
422,4,0.022256331542594012,3,15.6,0.38910207214121256,0.14581734458940906,5,0.31619339984650807,0.01688411358403684,2,0.031465848042977744,598.9
555,7,0.016116653875671526,3,15.6,0.38910207214121256,0.04911742133537989,5,0.10130468150422103,0.1419800460475825,5,0.01918649270913277,397.0
